7	4	6	-90	67	89	34	39	2	78	-57	25	-7	19	-74	48	17	77	-28	-72	-57	36	-7	-59	42	37	87	2	-30	15	28	-25	33	-28	-7	-88	61	72	7	-9	-6	23	-48	88	63	-22	49	71	-39	52	-30	77	-67	75	90	59	23	-11	41	52	12	-66	73	1	54	29	18	-34	-27	-52	34	-74	44	-84	-46	-99	-58	-66	61	-84	74	-56	-38	86	-52	-87	-38	-24	-52	-96	-10	74	-72	25	-76	-25	41	-91	68	-36
84	39	-65	-37	-98	77	-31	-88	-75	-44	23	-6	-51	56	20	93	62	-10	-80	-32	43	3	-8	94	-35	-49	-85	-72	30	-97	54	43	-92	-44	-52	-98	30	56	6	-37	19	33	-45	17	-54	-65	-15	-21	59	-26	34	73	27	94	-3	42	-83	-63	49	-42	62	-4	-19	-11	68	71	89	20	98	1	-60	36	-17	60	-21	-4	-96	63	47	7	-3	82	14	12	-29	-83	-86	-53	-79	30	-57	5	8	-91	35	-49	-50	4	72	72
30	-2	-26	-25	43	23	-28	2	17	-59	-60	-81	22	14	53	-60	-52	-44	-63	-33	-41	77	43	-99	82	-36	92	72	-22	51	70	57	-96	-39	-12	1	31	84	2	-71	36	-22	-88	-6	50	94	-55	14	-89	-12	-34	-88	0	92	67	-90	-21	86	53	30	-39	-50	5	25	-7	81	58	-91	57	-17	-100	-43	95	-54	71	58	36	36	-99	-70	67	-65	0	-98	80	7	17	-63	93	-69	77	-26	-14	-99	-83	-27	-71	1	-3	22
27	-94	93	66	5	-76	15	27	-74	51	-41	82	64	46	56	-98	-33	-43	24	-35	-74	44	-14	-90	100	-65	77	-8	-21	23	63	29	-34	-45	-91	-55	59	-82	-18	-99	-55	9	-50	76	-69	-21	-50	-59	-18	52	61	40	82	-89	95	-6	-44	87	-67	-75	54	60	34	-97	-41	-56	-92	35	24	-42	-89	-19	-3	4	14	-67	-35	96	-91	-94	1	31	56	94	10	-7	94	92	36	12	-95	41	-24	-97	4	-74	-72	-22	63	-78
-40	40	-72	73	92	-17	97	55	78	58	-64	-7	30	-61	-98	-51	-47	-67	19	16	56	11	-94	-87	79	-17	42	99	-36	-5	-3	-91	-45	-86	94	62	47	-67	-45	90	36	16	-78	94	-41	29	-60	11	-86	-61	-53	22	-1	20	99	-58	-99	15	70	18	-73	-6	-16	-40	-83	-91	8	82	-27	29	-86	-93	18	12	-37	-37	-97	95	52	-62	9	-80	62	67	-49	-84	-69	-96	71	5	72	-72	74	59	-14	86	48	66	-45	28
63	19	70	-54	-6	72	-94	-90	75	-15	-69	-7	56	-93	58	-13	-19	99	-7	-38	-35	-94	91	-22	-16	29	21	-72	-23	-68	-51	38	34	-47	-43	51	98	84	92	58	-79	72	40	-55	65	69	-36	56	-7	-65	47	-63	68	49	-12	70	-37	-79	-68	93	-95	-25	11	60	-26	63	-22	75	-42	-61	23	-82	-80	-38	-68	10	-51	0	38	-59	68	-35	10	74	76	-82	40	34	94	-100	-86	11	-3	100	35	-43	-17	-94	-57	-5
-49	-91	-96	-3	-31	-38	-25	26	92	80	91	-21	65	-16	-12	-2	67	14	56	52	36	67	73	41	17	96	77	-61	45	47	73	13	-1	-87	28	-80	-83	-73	-68	19	8	-40	-56	-96	-10	-13	-76	24	62	-79	39	-99	-87	-92	-46	48	-10	67	67	96	-66	69	47	87	14	6	91	81	-24	76	-5	-39	3	-4	20	94	-58	99	-35	-17	18	-1	-27	58	64	-70	-44	-93	-25	-14	76	-91	67	19	-19	41	-54	10	67	19
38	8	-10	-44	21	43	15	32	7	12	73	-71	65	-84	61	-4	-18	-30	-98	49	56	-37	-52	-3	88	69	62	87	-71	14	92	-99	57	49	-25	-89	-24	47	-38	88	-69	-92	90	67	72	-53	-95	-28	96	-75	-38	77	-67	25	-79	-76	-33	75	88	-12	91	43	-61	97	90	-37	-52	-96	87	-62	18	13	100	-2	-50	56	-62	69	-95	-34	-20	-14	-56	-32	24	69	-31	23	9	-50	-26	86	-50	43	-75	31	36	-11	46	-95
67	15	67	21	-72	51	23	63	-96	-52	93	-89	59	75	-13	-99	4	-72	92	-42	44	-29	-84	-40	-67	9	34	10	-20	-18	-62	-40	-71	40	79	23	-15	71	-81	41	41	-51	77	11	-28	99	33	27	26	36	-77	-63	-85	65	-39	-25	38	92	-9	52	-100	10	17	-59	74	-42	-22	-43	17	-42	91	86	39	-14	-1	59	69	-86	88	33	43	25	56	-69	-26	22	-86	-37	25	-34	100	87	15	-16	15	-6	-55	90	-86	56
-47	57	98	-45	-5	-63	15	77	25	65	-15	-45	34	90	-90	-8	32	-91	-28	-34	-22	-34	0	-75	-31	-97	-52	26	9	-1	96	99	67	12	-14	60	-15	-1	93	56	-57	58	88	27	-22	55	-59	-57	62	2	-22	33	-20	40	-25	46	-67	49	-15	-96	-59	-97	-33	86	84	-36	71	31	21	-35	64	-87	-74	23	42	95	-15	1	54	38	-75	80	28	-19	-48	33	62	30	11	-70	17	-62	-66	67	-12	50	22	58	-94	43
